trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,0,-78.67329009375547,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,0,1.3985884831961184,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,16,9.450192927694102,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,17,-22.98011844165238,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",30,8,16.924422432747104,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",25,20,8.80045596575375,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,0,23.956811308814782,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,14,12.568505994840274,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,11,4.927639673360417,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,9,7.963141294509591,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,13,-11.338181598108957,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",25,0,-18.082506829230397,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,0,-33.795865273259814,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,0,11.624449246270515,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,0,26.880782443500188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",20,15,7.910803276419779,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",25,18,15.788918752340308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",20,2,5.003552972553327,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",30,14,-15.153705302649879,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,15,26.15340753324649,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-81.29918401477175,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,3,-13.424679714828446,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,9,18.041442051135245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,14,12.441512543507617,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-47.090519310691455,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,11,24.481441034273047,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,17,14.415214011896648,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,0,43.98853867698512,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,15,5.9171334279054895,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
