trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
518,False,"{'a': 0.3, 'e': 0.48199999999999954}",20,10,-36.89876494666741,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
519,False,"{'a': 0.3, 'e': 0.48099999999999954}",20,0,-44.764967662200135,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
520,False,"{'a': 0.3, 'e': 0.47999999999999954}",20,0,-59.35031332188794,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
521,False,"{'a': 0.3, 'e': 0.47899999999999954}",25,11,-13.844261796325593,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
522,False,"{'a': 0.3, 'e': 0.47799999999999954}",25,18,-5.180555509015658,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
523,False,"{'a': 0.3, 'e': 0.47699999999999954}",25,14,-69.09730454161168,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
524,False,"{'a': 0.3, 'e': 0.47599999999999953}",20,6,-13.660224138716764,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
525,False,"{'a': 0.3, 'e': 0.47499999999999953}",20,9,6.02403870484987,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.3, 'e': 0.47399999999999953}",20,10,-47.96430359750455,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
527,False,"{'a': 0.3, 'e': 0.47299999999999953}",20,13,15.101638834737525,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.3, 'e': 0.47199999999999953}",25,5,19.29162043399899,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.3, 'e': 0.47099999999999953}",20,0,15.05196811701432,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
530,False,"{'a': 0.3, 'e': 0.46999999999999953}",25,10,-39.640394014138664,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
531,False,"{'a': 0.3, 'e': 0.46899999999999953}",25,4,-41.57552403885157,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 0}",1
532,False,"{'a': 0.3, 'e': 0.4679999999999995}",25,18,1.1632452220105538,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
533,False,"{'a': 0.3, 'e': 0.4669999999999995}",20,10,8.370870158940964,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
534,False,"{'a': 0.3, 'e': 0.4659999999999995}",20,1,-109.1964232672385,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
535,False,"{'a': 0.3, 'e': 0.4649999999999995}",25,9,-52.587459600385344,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
536,False,"{'a': 0.3, 'e': 0.4639999999999995}",25,0,-145.9961587528748,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
537,False,"{'a': 0.3, 'e': 0.4629999999999995}",30,11,-41.99437271781933,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 0}",1
538,False,"{'a': 0.3, 'e': 0.4619999999999995}",20,11,9.86498382914085,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.3, 'e': 0.4609999999999995}",25,0,-86.42094638047323,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
540,False,"{'a': 0.3, 'e': 0.4599999999999995}",35,4,13.64826543736541,"{0: 28, 1: 1, 2: 1, 3: 1, 4: 0}",1
541,False,"{'a': 0.3, 'e': 0.4589999999999995}",25,13,2.0664285631270314,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.3, 'e': 0.4579999999999995}",35,7,-38.65936989546548,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 0}",1
543,False,"{'a': 0.3, 'e': 0.4569999999999995}",25,14,0.7429253698865388,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.3, 'e': 0.4559999999999995}",20,0,-26.108710444631992,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
545,False,"{'a': 0.3, 'e': 0.4549999999999995}",25,3,-88.07982064716006,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
546,False,"{'a': 0.3, 'e': 0.4539999999999995}",25,0,-16.306411885364675,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
547,False,"{'a': 0.3, 'e': 0.4529999999999995}",30,15,13.093056824334548,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
548,False,"{'a': 0.3, 'e': 0.4519999999999995}",20,12,11.163558393775968,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.3, 'e': 0.4509999999999995}",20,5,3.4662573822289326,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
550,False,"{'a': 0.3, 'e': 0.4499999999999995}",25,11,-7.562840575211628,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
551,False,"{'a': 0.3, 'e': 0.4489999999999995}",30,1,-31.68448004676447,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 1}",1
552,False,"{'a': 0.3, 'e': 0.4479999999999995}",20,6,-5.4741817462226585,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
553,False,"{'a': 0.3, 'e': 0.4469999999999995}",35,17,-3.8312667456081364,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
